h3_09,h3_09_center,lat,lon,place_name
8911aa654a7ffff,8911aa61d07ffff,55.91215896606445,37.883792877197266,королевские лоси
891181b290fffff,891181b290fffff,55.51460266113281,37.568965911865234,бти
891181b293bffff,891181b293bffff,55.516422271728516,37.57024002075195,военно-учётный стол
8911aa0118fffff,8911aa01183ffff,55.96360397338867,37.173892974853516,кпп
8911aa00ec3ffff,8911aa00ec3ffff,56.009700775146484,37.19556427001953,зеленоградстрой
8911aa00ec3ffff,8911aa00ec3ffff,56.00986099243164,37.1961784362793,мосэнергосбыт
8911aa61257ffff,8911aa61257ffff,55.748409271240234,37.776275634765625,киберарена
8911aa70c6fffff,8911aa70c6fffff,55.878604888916016,37.56365203857422,гу ис
8911aa7412bffff,8911aa6658bffff,55.99256134033203,37.690185546875,бухта тихая
891181b245bffff,8911aa48a57ffff,55.45357131958008,37.42354965209961,поле ромашек
8911aa49bdbffff,8911aa49bdbffff,55.4195671081543,37.404293060302734,садовый квартал
8911aa50163ffff,8911aa42677ffff,55.62174606323242,36.98050308227539,гск "лада-спутник"
891181a044fffff,891181b0d13ffff,55.41705322265625,37.771549224853516,мангал
8911aa7ab07ffff,8911aa7ab07ffff,55.762752532958984,37.63510513305664,мострансагенство
8911aa0c517ffff,8911aa0f02fffff,56.009971618652344,37.38725662231445,пункт выдачи инвентаря
8911aa0c50fffff,8911aa0f02fffff,56.0059928894043,37.39632034301758,пункт выдачи инвентаря
89118195487ffff,891181954b3ffff,55.277400970458984,37.110816955566406,львовский таможенный пост
891181b1863ffff,891181b055bffff,55.41008758544922,37.64498519897461,кск "аврора"
891181b0cd7ffff,891181b2a3bffff,55.47239685058594,37.57821273803711,снт позсо 49/1
891181b0cc3ffff,891181b2a3bffff,55.47091293334961,37.58072280883789,снт сокол
891181b0cc7ffff,891181b2a3bffff,55.470645904541016,37.5829963684082,снт часовщик 55
891181b0ccfffff,891181b2a3bffff,55.4694938659668,37.586429595947266,снт москвич
891181b2a6fffff,891181b2a3bffff,55.47309875488281,37.57525634765625,снт 50/2 позсо
891181b0cd7ffff,891181b2a3bffff,55.47312545776367,37.577491760253906,снт вторчермет
8911aa09607ffff,8911aa46d83ffff,55.78659439086914,37.24098587036133,car wash
8911aa0960fffff,8911aa46d83ffff,55.784324645996094,37.2406120300293,car wash
8911aa48d17ffff,8911aa48d17ffff,55.50953674316406,37.3617057800293,продукты мини маркет
8911aa48237ffff,8911aa48297ffff,55.439266204833984,37.323974609375,сотовая вышка
8911aa5538fffff,8911aa5428fffff,55.67711639404297,37.13631057739258,правление с/т учитель
8911aa50e83ffff,8911aa42677ffff,55.62759780883789,36.99435043334961,дом священника
891181b7323ffff,891181b4437ffff,55.533451080322266,37.668312072753906,усадьба суханово
8911aa781a3ffff,8911aa781a3ffff,55.73273849487305,37.62260818481445,вход со львами
8911aa55d97ffff,8911aa5428fffff,55.73451614379883,37.156551361083984,д.6
891181a2ab7ffff,891181b0d13ffff,55.47352981567383,37.802303314208984,дом 6
891181a1837ffff,891181b0d13ffff,55.4067497253418,37.8967170715332,фруктовая
891181a194fffff,891181b0d13ffff,55.40932846069336,37.913509368896484,десантное поле
891181a19cbffff,891181b0d13ffff,55.408226013183594,37.899044036865234,цзс
8911aa651afffff,8911aa6658bffff,55.92481231689453,37.94301223754883,зао «домостроитель»
8911aa5692bffff,8911aa5428fffff,55.81035232543945,37.128719329833984,дедов самовар
8911aa7b177ffff,8911aa7b177ffff,55.687320709228516,37.555870056152344,люк
8911aa44a67ffff,8911aa44a67ffff,55.734066009521484,37.4603157043457,домик для уток
8911aa42d33ffff,8911aa40d8fffff,55.6772575378418,37.18368148803711,булыжник старт/финиш
891181922a3ffff,89118192e53ffff,55.21096420288086,36.92609405517578,главный въезд
891181922a3ffff,89118192e53ffff,55.21073532104492,36.92631530761719,администрация
891181b0b8fffff,891181b0d13ffff,55.47233963012695,37.654693603515625,карьер
8911aa79e4fffff,891181b6d97ffff,55.65397644042969,37.670928955078125,marine bouy 55
8911aa4c8c7ffff,8911aa4c8d7ffff,55.60945129394531,37.519832611083984,площадка для выгула собак
8911aa41ac7ffff,8911aa41a77ffff,55.54571533203125,37.29311752319336,ооо впк экспофорб 
8911aac4b83ffff,8911aaccacfffff,55.92121505737305,36.85105895996094,тропа паломника
8911aa5840bffff,8911aa5b11bffff,55.4660530090332,37.01505661010742,шлагбаум ручной
