feature,importance,model_type,coord_type,timestamp
total_transactions,0.0,decision_tree,lon,2025-05-20 22:33:46.527
unique_mcc_count,0.0,decision_tree,lon,2025-05-20 22:33:46.527
avg_transaction_amount,0.0,decision_tree,lon,2025-05-20 22:33:46.527
std_transaction_amount,0.0,decision_tree,lon,2025-05-20 22:33:46.527
max_time_slot,0.0,decision_tree,lon,2025-05-20 22:33:46.527
min_time_slot,0.0,decision_tree,lon,2025-05-20 22:33:46.527
location_transaction_count,0.0,decision_tree,lon,2025-05-20 22:33:46.527
location_avg_amount,0.0,decision_tree,lon,2025-05-20 22:33:46.527
location_unique_mcc_count,0.0,decision_tree,lon,2025-05-20 22:33:46.527
tag_feature_0,0.0,decision_tree,lon,2025-05-20 22:33:46.527
tag_feature_1,0.0,decision_tree,lon,2025-05-20 22:33:46.527
tag_feature_2,0.0,decision_tree,lon,2025-05-20 22:33:46.527
tag_feature_3,0.0,decision_tree,lon,2025-05-20 22:33:46.527
tag_feature_4,0.0,decision_tree,lon,2025-05-20 22:33:46.527
tag_feature_5,0.0,decision_tree,lon,2025-05-20 22:33:46.527
tag_feature_6,0.0,decision_tree,lon,2025-05-20 22:33:46.527
tag_feature_7,0.0,decision_tree,lon,2025-05-20 22:33:46.527
tag_feature_8,0.0,decision_tree,lon,2025-05-20 22:33:46.527
tag_feature_9,0.0,decision_tree,lon,2025-05-20 22:33:46.527
tag_feature_10,0.0,decision_tree,lon,2025-05-20 22:33:46.527
tag_feature_11,0.0,decision_tree,lon,2025-05-20 22:33:46.527
tag_feature_12,0.0,decision_tree,lon,2025-05-20 22:33:46.527
tag_feature_13,0.0,decision_tree,lon,2025-05-20 22:33:46.527
tag_feature_14,0.0,decision_tree,lon,2025-05-20 22:33:46.527
tag_feature_15,0.0,decision_tree,lon,2025-05-20 22:33:46.527
tag_feature_16,0.17874178951609185,decision_tree,lon,2025-05-20 22:33:46.527
tag_feature_17,0.0,decision_tree,lon,2025-05-20 22:33:46.527
tag_feature_18,0.5244004094524924,decision_tree,lon,2025-05-20 22:33:46.527
tag_feature_19,0.0,decision_tree,lon,2025-05-20 22:33:46.527
tag_feature_20,0.0,decision_tree,lon,2025-05-20 22:33:46.527
tag_feature_21,0.0,decision_tree,lon,2025-05-20 22:33:46.527
tag_feature_22,0.29685780103141574,decision_tree,lon,2025-05-20 22:33:46.527
tag_feature_23,0.0,decision_tree,lon,2025-05-20 22:33:46.527
tag_feature_24,0.0,decision_tree,lon,2025-05-20 22:33:46.527
