feature,importance,model_type,coord_type,timestamp
total_transactions,0.0,random_forest,lat,2025-05-20 23:43:22.633
unique_mcc_count,0.0,random_forest,lat,2025-05-20 23:43:22.633
avg_transaction_amount,0.0,random_forest,lat,2025-05-20 23:43:22.633
std_transaction_amount,0.0,random_forest,lat,2025-05-20 23:43:22.633
max_time_slot,0.0,random_forest,lat,2025-05-20 23:43:22.633
min_time_slot,0.0,random_forest,lat,2025-05-20 23:43:22.633
location_transaction_count,0.0,random_forest,lat,2025-05-20 23:43:22.633
location_avg_amount,0.0,random_forest,lat,2025-05-20 23:43:22.633
location_unique_mcc_count,0.0,random_forest,lat,2025-05-20 23:43:22.633
tag_feature_0,0.0003058831531308832,random_forest,lat,2025-05-20 23:43:22.633
tag_feature_1,0.0,random_forest,lat,2025-05-20 23:43:22.633
tag_feature_2,0.0,random_forest,lat,2025-05-20 23:43:22.633
tag_feature_3,0.0,random_forest,lat,2025-05-20 23:43:22.633
tag_feature_4,0.0,random_forest,lat,2025-05-20 23:43:22.633
tag_feature_5,0.0,random_forest,lat,2025-05-20 23:43:22.633
tag_feature_6,0.0,random_forest,lat,2025-05-20 23:43:22.633
tag_feature_7,0.0,random_forest,lat,2025-05-20 23:43:22.633
tag_feature_8,0.0,random_forest,lat,2025-05-20 23:43:22.633
tag_feature_9,0.0,random_forest,lat,2025-05-20 23:43:22.633
tag_feature_10,0.0,random_forest,lat,2025-05-20 23:43:22.633
tag_feature_11,0.0,random_forest,lat,2025-05-20 23:43:22.633
tag_feature_12,0.0,random_forest,lat,2025-05-20 23:43:22.633
tag_feature_13,0.0,random_forest,lat,2025-05-20 23:43:22.633
tag_feature_14,0.0,random_forest,lat,2025-05-20 23:43:22.633
tag_feature_15,0.0,random_forest,lat,2025-05-20 23:43:22.633
tag_feature_16,0.1405494713808999,random_forest,lat,2025-05-20 23:43:22.633
tag_feature_17,0.1440739210960298,random_forest,lat,2025-05-20 23:43:22.633
tag_feature_18,0.1522566394405958,random_forest,lat,2025-05-20 23:43:22.633
tag_feature_19,0.12225978599915048,random_forest,lat,2025-05-20 23:43:22.633
tag_feature_20,0.013440860460105009,random_forest,lat,2025-05-20 23:43:22.633
tag_feature_21,0.01895197127049935,random_forest,lat,2025-05-20 23:43:22.633
tag_feature_22,0.1309941329645951,random_forest,lat,2025-05-20 23:43:22.633
tag_feature_23,0.1582054867068319,random_forest,lat,2025-05-20 23:43:22.633
tag_feature_24,0.1189618475281616,random_forest,lat,2025-05-20 23:43:22.633
