feature,importance,model_type,coord_type,timestamp
total_transactions,0.0,random_forest,lon,2025-05-20 23:43:16.779
unique_mcc_count,0.0,random_forest,lon,2025-05-20 23:43:16.779
avg_transaction_amount,0.0,random_forest,lon,2025-05-20 23:43:16.779
std_transaction_amount,0.0,random_forest,lon,2025-05-20 23:43:16.779
max_time_slot,0.0,random_forest,lon,2025-05-20 23:43:16.779
min_time_slot,0.0,random_forest,lon,2025-05-20 23:43:16.779
location_transaction_count,0.0,random_forest,lon,2025-05-20 23:43:16.779
location_avg_amount,0.0,random_forest,lon,2025-05-20 23:43:16.779
location_unique_mcc_count,0.0,random_forest,lon,2025-05-20 23:43:16.779
tag_feature_0,0.0001290916863011148,random_forest,lon,2025-05-20 23:43:16.779
tag_feature_1,0.0,random_forest,lon,2025-05-20 23:43:16.779
tag_feature_2,0.0,random_forest,lon,2025-05-20 23:43:16.779
tag_feature_3,0.0,random_forest,lon,2025-05-20 23:43:16.779
tag_feature_4,0.0,random_forest,lon,2025-05-20 23:43:16.779
tag_feature_5,0.0,random_forest,lon,2025-05-20 23:43:16.779
tag_feature_6,0.0,random_forest,lon,2025-05-20 23:43:16.779
tag_feature_7,0.0,random_forest,lon,2025-05-20 23:43:16.779
tag_feature_8,0.0,random_forest,lon,2025-05-20 23:43:16.779
tag_feature_9,0.0,random_forest,lon,2025-05-20 23:43:16.779
tag_feature_10,0.0,random_forest,lon,2025-05-20 23:43:16.779
tag_feature_11,0.0,random_forest,lon,2025-05-20 23:43:16.779
tag_feature_12,0.0,random_forest,lon,2025-05-20 23:43:16.779
tag_feature_13,0.0,random_forest,lon,2025-05-20 23:43:16.779
tag_feature_14,0.0,random_forest,lon,2025-05-20 23:43:16.779
tag_feature_15,0.0,random_forest,lon,2025-05-20 23:43:16.779
tag_feature_16,0.07346672943809315,random_forest,lon,2025-05-20 23:43:16.779
tag_feature_17,0.06318045050565092,random_forest,lon,2025-05-20 23:43:16.779
tag_feature_18,0.2867780752030924,random_forest,lon,2025-05-20 23:43:16.779
tag_feature_19,0.15923771710645926,random_forest,lon,2025-05-20 23:43:16.779
tag_feature_20,0.00401182320996386,random_forest,lon,2025-05-20 23:43:16.779
tag_feature_21,0.01568952679682454,random_forest,lon,2025-05-20 23:43:16.779
tag_feature_22,0.15129579316651792,random_forest,lon,2025-05-20 23:43:16.779
tag_feature_23,0.12129303377744527,random_forest,lon,2025-05-20 23:43:16.779
tag_feature_24,0.12491775910965153,random_forest,lon,2025-05-20 23:43:16.779
